season,event_code,event_name,team_count,match_count,team_number,adv_rank,qual_rank,qual_points,alliance_selection_points,award_points,playoff_points,total_points
2025,USMIFLQ,Flint Qualifier,37,55,22420,35,34,5,0,0,0,5
2025,USMIFLQ,Flint Qualifier,37,55,32241,36,35,5,0,0,0,5
2025,USMIFLQ,Flint Qualifier,37,55,26550,37,36,4,0,0,0,4
2025,USMIFRQ,Fruitport Qualifier,37,57,10255,1,2,15,20,60,40,135
2025,USMIFRQ,Fruitport Qualifier,37,57,11228,2,1,16,20,30,40,106
2025,USMIFRQ,Fruitport Qualifier,37,57,21914,3,4,14,18,12,10,54
2025,USMIFRQ,Fruitport Qualifier,37,57,5385,4,7,13,18,12,10,53
2025,USMIFRQ,Fruitport Qualifier,37,57,15344,5,6,13,17,0,20,50
2025,USMIFRQ,Fruitport Qualifier,37,57,30529,6,14,11,17,0,20,48
2025,USMIFRQ,Fruitport Qualifier,37,57,5290,7,3,15,19,12,0,46
2025,USMIFRQ,Fruitport Qualifier,37,57,24371,8,9,12,16,12,5,45
2025,USMIFRQ,Fruitport Qualifier,37,57,5383,9,8,13,16,6,5,40
2025,USMIFRQ,Fruitport Qualifier,37,57,5384,10,5,14,19,6,0,39
2025,USMIFRQ,Fruitport Qualifier,37,57,16220,11,10,12,15,6,0,33
2025,USMIFRQ,Fruitport Qualifier,37,57,6482,12,11,12,0,12,0,24
2025,USMIFRQ,Fruitport Qualifier,37,57,16464,13,22,9,15,0,0,24
2025,USMIFRQ,Fruitport Qualifier,37,57,19429,14,24,8,0,15,0,23
2025,USMIFRQ,Fruitport Qualifier,37,57,20862,15,13,11,0,12,0,23
2025,USMIFRQ,Fruitport Qualifier,37,57,8733,16,21,9,0,12,0,21
2025,USMIFRQ,Fruitport Qualifier,37,57,20863,17,37,4,0,12,0,16
2025,USMIFRQ,Fruitport Qualifier,37,57,11531,18,16,10,0,6,0,16
2025,USMIFRQ,Fruitport Qualifier,37,57,18092,19,20,9,0,6,0,15
2025,USMIFRQ,Fruitport Qualifier,37,57,20245,20,27,8,0,6,0,14
2025,USMIFRQ,Fruitport Qualifier,37,57,9133,21,12,11,0,0,0,11
2025,USMIFRQ,Fruitport Qualifier,37,57,15397,22,15,11,0,0,0,11
2025,USMIFRQ,Fruitport Qualifier,37,57,15339,23,36,4,0,6,0,10
2025,USMIFRQ,Fruitport Qualifier,37,57,10031,24,17,10,0,0,0,10
2025,USMIFRQ,Fruitport Qualifier,37,57,11999,25,19,10,0,0,0,10
2025,USMIFRQ,Fruitport Qualifier,37,57,31459,26,18,10,0,0,0,10
2025,USMIFRQ,Fruitport Qualifier,37,57,27689,27,23,9,0,0,0,9
2025,USMIFRQ,Fruitport Qualifier,37,57,9476,28,26,8,0,0,0,8
